station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
500101093,大安區健康服務中心,15,6,9,0,1,2,2020-03-15 17:30:31,2020-03-14 11:31:03
500106001,臺北自來水事業處,20,3,17,0,1,2,2020-03-15 17:30:31,2020-03-15 16:33:03
500106002,汀州思源街口東南側,20,3,17,0,1,2,2020-03-15 17:30:31,2020-03-15 09:13:03
500106003,捷運公館站(1號出口),12,2,10,0,1,2,2020-03-15 17:30:31,2020-03-15 14:45:03
500106004,捷運公館站(4號出口),12,4,8,0,1,2,2020-03-15 17:30:32,2020-03-15 12:41:03
500101013,和平復興路口西北側,9,0,9,0,1,2,2020-03-15 17:30:32,2020-03-15 06:03:03
500101009,新生南路三段66號前,20,4,16,0,1,2,2020-03-15 17:30:32,2020-03-14 11:43:03
508101045,臺大農業陳列館北側,13,3,10,0,1,2,2020-03-15 17:30:32,2020-03-15 17:25:03
508106005,臺大水源舍區A棟,37,5,32,0,1,2,2020-03-15 17:30:32,2020-03-15 07:09:03
508106006,臺大卓越研究大樓,32,0,32,0,1,2,2020-03-15 17:30:32,2020-03-15 08:35:03
508106007,臺大水源修齊會館,18,2,16,0,1,2,2020-03-15 17:30:32,2020-03-15 12:49:03
508106008,臺大檔案展示館,10,0,10,0,1,2,2020-03-15 17:30:32,2020-03-15 03:25:03
508106009,臺大水源舍區B棟,30,1,29,0,1,2,2020-03-15 17:30:32,2020-03-15 08:39:03
508101043,臺大男八舍東側,42,1,41,0,1,2,2020-03-15 17:30:32,2020-03-15 12:07:03
508101044,臺大仰萃樓東南側,10,0,10,0,1,2,2020-03-15 17:30:32,2020-03-15 14:41:03
508101046,臺大管理學院二館北側,11,1,10,0,1,2,2020-03-15 17:30:32,2020-03-15 14:59:03
508101047,臺大土木系館,10,1,9,0,1,2,2020-03-15 17:30:32,2020-03-14 21:43:03
508101048,臺大大一女舍北側,53,1,52,0,1,2,2020-03-15 17:30:32,2020-03-15 11:57:03
508101049,臺大女九舍西南側,30,0,30,0,1,2,2020-03-15 17:30:32,2020-03-14 23:09:03
508101050,臺大小福樓東側,20,13,7,0,1,2,2020-03-15 17:30:32,2020-03-15 16:17:03
508101051,臺大立體機車停車場,27,0,27,0,1,2,2020-03-15 17:30:32,2020-03-13 10:03:03
508101052,臺大工綜館南側,16,1,15,0,1,2,2020-03-15 17:30:32,2020-03-14 16:35:03
508101053,臺大天文數學館南側,19,11,8,0,1,2,2020-03-15 17:30:32,2020-03-15 16:45:03
508101054,臺大心理系館南側,10,1,9,0,1,2,2020-03-15 17:30:32,2020-03-15 13:53:03
508101055,臺大樂學館東側,10,3,7,0,1,2,2020-03-15 17:30:32,2020-03-15 16:25:03
508101056,臺大農化新館西側,10,1,9,0,1,2,2020-03-15 17:30:32,2020-03-14 18:05:03
508101057,臺大五號館西側,10,1,9,0,1,2,2020-03-15 17:30:32,2020-03-15 14:25:03
508101058,臺大舊體育館西側,10,0,10,0,1,2,2020-03-15 17:30:32,2020-03-15 12:19:03
508101059,臺大共同教室北側,20,1,19,0,1,2,2020-03-15 17:30:32,2020-03-14 16:15:03
508101060,臺大共同教室東南側,12,2,10,0,1,2,2020-03-15 17:30:32,2020-03-15 16:03:03
508101061,臺大鹿鳴堂東側,27,3,24,0,1,2,2020-03-15 17:30:32,2020-03-15 14:09:03
508101062,臺大公館停車場西北側,12,0,12,0,1,2,2020-03-15 17:30:32,2020-03-15 12:11:03
508101063,臺大第二行政大樓南側,10,0,10,0,1,2,2020-03-15 17:30:32,2020-03-15 08:07:03
508101064,臺大明達館機車停車場,10,3,7,0,1,2,2020-03-15 17:30:32,2020-03-15 12:31:03
508101065,臺大二號館,10,2,8,0,1,2,2020-03-15 17:30:32,2020-03-13 12:37:03
508101066,臺大凝態館南側,20,9,11,0,1,2,2020-03-15 17:30:32,2020-03-15 17:13:03
508101067,臺大社科院西側,26,11,15,0,1,2,2020-03-15 17:30:32,2020-03-15 14:03:03
508101068,臺大社會系館南側,10,5,5,0,1,2,2020-03-15 17:30:32,2020-03-15 15:13:03
508101069,臺大思亮館東南側,10,1,9,0,1,2,2020-03-15 17:30:32,2020-03-13 23:37:03
508101070,臺大椰林小舖,25,1,24,0,1,2,2020-03-15 17:30:32,2020-03-15 05:25:03
508101071,臺大計資中心南側,19,2,17,0,1,2,2020-03-15 17:30:32,2020-03-15 06:13:03
508101072,臺大原分所北側,12,4,8,0,1,2,2020-03-15 17:30:32,2020-03-13 11:21:03
508101073,臺大校史館南側,10,0,10,0,1,2,2020-03-15 17:30:32,2020-03-14 15:41:03
508101074,臺大生命科學館西北側,10,0,10,0,1,2,2020-03-15 17:30:32,2020-03-15 03:43:03
508101075,臺大第一活動中心西南側,40,1,39,0,1,2,2020-03-15 17:30:32,2020-03-15 16:41:03
508101076,臺大博理館西側,10,6,4,0,1,2,2020-03-15 17:30:32,2020-03-15 16:59:03
508101077,臺大博雅館西側,56,21,35,0,1,2,2020-03-15 17:30:32,2020-03-15 08:45:03
508101078,臺大森林館北側,10,0,10,0,1,2,2020-03-15 17:30:32,2020-03-15 15:41:03
508101079,臺大一號館,19,1,18,0,1,2,2020-03-15 17:30:32,2020-03-15 15:27:03
508101081,臺大教研館北側,11,6,5,0,1,2,2020-03-15 17:30:32,2020-03-14 16:51:03
508101082,臺大四號館東北側,10,4,6,0,1,2,2020-03-15 17:30:32,2020-03-13 10:01:03
508101083,臺大新生教室南側,18,0,18,0,1,2,2020-03-15 17:30:32,2020-03-14 19:53:03
508101084,臺大鄭江樓北側,10,4,6,0,1,2,2020-03-15 17:30:32,2020-03-15 06:53:03
508101085,臺大電機二館東南側,14,6,8,0,1,2,2020-03-15 17:30:32,2020-03-14 16:13:03
508101086,臺大圖資系館北側,10,0,10,0,1,2,2020-03-15 17:30:32,2020-03-14 18:51:03
508101087,臺大總圖書館西南側,30,1,29,0,1,2,2020-03-15 17:30:32,2020-03-15 15:57:03
508101088,臺大黑森林西側,20,4,16,0,1,2,2020-03-15 17:30:32,2020-03-15 10:25:03
508101089,臺大獸醫館南側,10,3,7,0,1,2,2020-03-15 17:30:32,2020-03-15 17:17:03
508101090,臺大新體育館東南側,20,0,20,0,1,2,2020-03-15 17:30:32,2020-03-15 15:55:03
508101080,臺大小小福西南側,10,0,10,0,1,2,2020-03-15 17:30:32,2020-03-12 11:51:03
500101022,捷運公館站(2號出口),61,8,53,0,1,2,2020-03-15 17:30:32,2020-03-15 17:05:03
