station_no,name_tw,district_tw,address_tw,name_en,district_en,address_en,lat,lng
508101044,臺大仰萃樓東南側,大安區,臺大仰萃樓東南側,NTU The Apex Building(Southeast),Daan Dist,NTU The Apex Building(Southeast),25.01408,121.53759
508101046,臺大管理學院二館北側,大安區,管理學院二號館北側,NTU Building 2 College of Management(North),Daan Dist,NTU Building 2 College of Management(North),25.01355,121.53673
508101047,臺大土木系館,大安區,臺大土木工程學系所南側,NTU Dept. of Civil Engineering,Daan Dist,NTU Dept. of Civil Engineering(South),25.01761,121.53844
508101048,臺大大一女舍北側,大安區,臺大女一舍北側,NTU Freshman Women's Dorm(North),Daan Dist,NTU Freshman Women's Dorm(North),25.01547,121.53436
508101049,臺大女九舍西南側,大安區,臺大女九舍西南側,NTU 9th Women's Dorm(Southwest),Daan Dist,NTU 9th Women's Dorm(Southwest),25.01937,121.53902
508101050,臺大小福樓東側,大安區,臺大小福樓東側,NTU Xiao Fu Commissary(East),Daan Dist,NTU Xiao Fu Commissary(East),25.01846,121.5376
508101051,臺大立體機車停車場,大安區,基隆路三段/基隆路三段156巷口北側,NTU Parking lot(Motorcycle),Daan Dist,Ln. 156 Sec. 3 Keelung Rd. Intersection(North),25.01616,121.54251
508101052,臺大工綜館南側,大安區,臺大工學院東南側,NTU College of Engineering Building(South),Daan Dist,NTU College of Engineering Building(Southeast),25.01857,121.54059
508101053,臺大天文數學館南側,大安區,臺大天文數學館西南側,NTU Astronomy - Mathematics Building(South),Daan Dist,NTU Astronomy - Mathematics Building(Southwest),25.02108,121.53783
508101054,臺大心理系館南側,大安區,臺大心理學系南側,NTU Dept. of Psychology (South Hall),Daan Dist,NTU Dept. of Psychology (South Hall),25.01941,121.5404
508101055,臺大樂學館東側,大安區,臺大文學院西側,NTU Lesyue Building(East),Daan Dist,Liberal Arts Research Building(West),25.01793,121.53585
508101056,臺大農化新館西側,大安區,臺大生化科技學系西側,NTU New Agricultural Chemistry Building(West),Daan Dist,NTU Department of Biochemical Science and Technology(West),25.01627,121.53535
508101057,臺大五號館西側,大安區,臺大生物系館西側,NTU Building No.5(West),Daan Dist,NTU Department of Bioenvironmental Systems Engineering(West),25.01666,121.53718
508101058,臺大舊體育館西側,大安區,臺大田徑場東側,NTU Gymnasium(West),Daan Dist,NTU Sports Field(East),25.0198,121.53583
508101059,臺大共同教室北側,大安區,臺大共同教學館東北側,NTU Common Subjects Classroom Building(North),Daan Dist,NTU Common Subjects Classroom Building(Northeast),25.01595,121.53791
508101060,臺大共同教室東南側,大安區,臺大共同教學館東南側,NTU Common Subjects Classroom Building(Southeast),Daan Dist,NTU Common Subjects Classroom Building(Southeast),25.01566,121.53786
508101061,臺大鹿鳴堂東側,大安區,臺大鹿鳴廣場人行道側,NTU LuMing Hall(East),Daan Dist,NTU Lu Ming Square(Sidewalk),25.01511,121.53786
508101062,臺大公館停車場西北側,大安區,臺大公館停車場西北側,NTU Gongguan Car Park (Northwest),Daan Dist,NTU Gongguan Car Park (Northwest),25.01345,121.53798
508101063,臺大第二行政大樓南側,大安區,臺大行政大樓西側,NTU 2nd Administration Building(South),Daan Dist,NTU Administration Building(West),25.01603,121.53635
508101064,臺大明達館機車停車場,大安區,臺大明達館西側,NTU Ming - Da Hall Parking,Daan Dist,NTU Ming - Da Hall(West),25.01754,121.54398
508101065,臺大二號館,大安區,臺大物理文物廳北側,NTU Building No.2,Daan Dist,NTU Heritage Hall of Physics,25.01699,121.53574
508101066,臺大凝態館南側,大安區,臺大物理系館南側,NTU Center for Condensed Matter Sciences(South),Daan Dist,NTU Dept. of Physics Library,25.02157,121.53633
508101067,臺大社科院西側,大安區,臺大社科院西側,NTU College of social Sciences Building(West),Daan Dist,NTU College of social Sciences Building(West),25.02053,121.54145
508101068,臺大社會系館南側,大安區,臺大社會及社工館南側,NTU Department of Sociology(South),Daan Dist,NTU Dept. of Sociology / Dept. of Social Work(South),25.01987,121.54175
508101069,臺大思亮館東南側,大安區,臺大思亮館東南側,NTU Shih - Liang Hall(Southeast),Daan Dist,NTU Shih - Liang Hall(Southeast),25.02074,121.53906
508101070,臺大椰林小舖,大安區,臺大椰林小舖旁,NTU Green Cabin,Daan Dist,NTU Green Cabin,25.01561,121.53583
508101071,臺大計資中心南側,大安區,臺大計算機網路資訊中心南側,NTU Computer and Information Networking Center(South),Daan Dist,NTU Computer and Information Networking Center(South),25.02036,121.53992
508101072,臺大原分所北側,大安區,臺大原子與分子科學研究所東北側,NTU Institute of Atomic and Molecular Sciences(North),Daan Dist,NTU Institute of Atomic and Molecular Sciences(Northeast),25.01881,121.53868
508101073,臺大校史館南側,大安區,臺大校史館南側,NTU Library/Gallery of University History(South),Daan Dist,NTU Library/Gallery of University History(South),25.01751,121.53569
508101074,臺大生命科學館西北側,大安區,臺大動物博物館西側,NTU Life Science Building(Northwest),Daan Dist,Museum of Zoology(West),25.01548,121.53825
508101075,臺大第一活動中心西南側,大安區,第一學生活動中心東南側,NTU 1st Student Activity Center(Southwest),Daan Dist,NTU 1st Student Activity Center(Southeast),25.01761,121.53995
508101076,臺大博理館西側,大安區,臺大博理館西側,NTU Barry Lam Hall(West),Daan Dist,NTU Barry Lam Hall(West),25.01922,121.54195
508101077,臺大博雅館西側,大安區,臺大博雅館西側,NTU Liberal Education Classroom Building(West),Daan Dist,NTU Liberal Education Classroom Building(West),25.0189,121.536
508101078,臺大森林館北側,大安區,臺大森林系學系北側,NTU Forestry Building(North),Daan Dist,NTU Forestry Building(North),25.01704,121.53888
508101079,臺大一號館,大安區,臺大植物魚類標本館一號館北側,NTU Building No.1,Daan Dist,NTU Building No.1(North),25.01698,121.53455
508101081,臺大教研館北側,大安區,臺大雅頌廣場東南側,NTU Teaching and Research Building(North),Daan Dist,NTU The Odeum Square(Southeast),25.01337,121.53909
508101082,臺大四號館東北側,大安區,臺大園藝暨景觀學系北側,NTU Building No.4(Northeast),Daan Dist,NTU Department of Horticulture(North),25.01703,121.53781
508101083,臺大新生教室南側,大安區,臺大新生教學館南側,NTU Freshman Classroom Building(South),Daan Dist,NTU Freshman Classroom Building(South),25.0196,121.53846
508101084,臺大鄭江樓北側,大安區,臺大新聞研究所南側,NTU Tseng Jiang Hall(North),Daan Dist,NTU Graduate Institute of Journalism(South),25.019,121.54305
508101085,臺大電機二館東南側,大安區,臺大電機二館南側,NTU E. E. Building No. 2(Southeast),Daan Dist,NTU E. E. Building No. 2(Southeast),25.01857,121.54247
508101086,臺大圖資系館北側,大安區,臺大圖書資訊館北側,NTU Dept. of Library and Information Sciences(North),Daan Dist,NTU Dept. of Library and Information Sciences(North),25.01804,121.53928
508101087,臺大總圖書館西南側,大安區,臺大圖書館西南側,NTU Main Library(Southwest),Daan Dist,NTU Main Library(Southwest),25.0169,121.54031
508101088,臺大黑森林西側,大安區,臺大霖澤館南側,NTU Black Forest(West),Daan Dist,NTU Tsai Lecture Hall(South),25.01995,121.54347
508101089,臺大獸醫館南側,大安區,臺大獸醫系館南側,NTU Dept. of Veterinary Medicine(South),Daan Dist,NTU Dept. of Veterinary Medicine(South),25.01791,121.54242
508101090,臺大新體育館東南側,大安區,臺大體育館東側,NTU Sports Center(Southeast),Daan Dist,NTU Sports Center(East),25.02112,121.53591
508101080,臺大小小福西南側,大安區,臺大進修教育大樓,NTU Xiao Xiao Fu Commissary(Southwest),Daan Dist,NTU Omnium Gatherum Building,25.01539,121.53686
500101022,捷運公館站(2號出口),大安區,捷運公館站(2號出口)外側,MRT Gongguan Sta. (Exit 2),Daan Dist.,MRT Gongguan Sta. (Exit 2),25.01491,121.53438
