station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
508101046,臺大管理學院二館北側,11,1,10,0,1,2,2020-03-17 01:59:24,2020-03-15 14:59:03
508101047,臺大土木系館,10,0,10,0,1,2,2020-03-17 01:59:24,2020-03-16 08:23:03
508101048,臺大大一女舍北側,53,26,13,0,1,2,2020-03-17 01:59:24,2020-03-17 00:43:03
508101049,臺大女九舍西南側,30,0,30,0,1,2,2020-03-17 01:59:24,2020-03-16 22:09:03
508101050,臺大小福樓東側,20,0,20,0,1,2,2020-03-17 01:59:24,2020-03-16 17:41:03
508101051,臺大立體機車停車場,27,0,27,0,1,2,2020-03-17 01:59:24,2020-03-16 19:51:03
508101052,臺大工綜館南側,16,0,16,0,1,2,2020-03-17 01:59:24,2020-03-16 21:59:03
508101053,臺大天文數學館南側,19,0,19,0,1,2,2020-03-17 01:59:24,2020-03-16 18:57:03
508101054,臺大心理系館南側,10,0,10,0,1,2,2020-03-17 01:59:24,2020-03-15 13:53:03
508101055,臺大樂學館東側,10,1,9,0,1,2,2020-03-17 01:59:24,2020-03-17 01:03:03
508101056,臺大農化新館西側,10,0,10,0,1,2,2020-03-17 01:59:24,2020-03-16 17:39:03
508101057,臺大五號館西側,10,0,10,0,1,2,2020-03-17 01:59:24,2020-03-16 12:59:03
508101058,臺大舊體育館西側,10,0,10,0,1,2,2020-03-17 01:59:24,2020-03-16 18:41:03
508101059,臺大共同教室北側,20,0,20,0,1,2,2020-03-17 01:59:24,2020-03-14 16:15:03
508101060,臺大共同教室東南側,12,0,12,0,1,2,2020-03-17 01:59:25,2020-03-16 20:13:03
508101061,臺大鹿鳴堂東側,27,0,27,0,1,2,2020-03-17 01:59:25,2020-03-16 13:51:03
508101062,臺大公館停車場西北側,12,2,10,0,1,2,2020-03-17 01:59:25,2020-03-15 12:11:03
508101063,臺大第二行政大樓南側,10,3,7,0,1,2,2020-03-17 01:59:25,2020-03-15 23:13:03
508101064,臺大明達館機車停車場,10,2,8,0,1,2,2020-03-17 01:59:25,2020-03-17 01:47:03
508101065,臺大二號館,10,0,10,0,1,2,2020-03-17 01:59:25,2020-03-13 12:37:03
508101066,臺大凝態館南側,20,0,20,0,1,2,2020-03-17 01:59:25,2020-03-16 21:39:03
508101067,臺大社科院西側,26,0,26,0,1,2,2020-03-17 01:59:25,2020-03-16 22:43:03
508101068,臺大社會系館南側,10,0,10,0,1,2,2020-03-17 01:59:25,2020-03-16 11:07:03
508101069,臺大思亮館東南側,10,1,9,0,1,2,2020-03-17 01:59:25,2020-03-16 23:49:03
508101070,臺大椰林小舖,25,10,15,0,1,2,2020-03-17 01:59:25,2020-03-15 05:25:03
508101071,臺大計資中心南側,19,0,19,0,1,2,2020-03-17 01:59:25,2020-03-16 12:23:03
508101072,臺大原分所北側,12,0,12,0,1,2,2020-03-17 01:59:25,2020-03-16 22:33:03
508101073,臺大校史館南側,10,0,10,0,1,2,2020-03-17 01:59:25,2020-03-16 16:57:03
508101074,臺大生命科學館西北側,10,0,10,0,1,2,2020-03-17 01:59:25,2020-03-16 15:27:03
508101075,臺大第一活動中心西南側,40,2,38,0,1,2,2020-03-17 01:59:25,2020-03-16 18:07:03
508101076,臺大博理館西側,10,0,10,0,1,2,2020-03-17 01:59:25,2020-03-16 19:05:03
508101077,臺大博雅館西側,56,6,50,0,1,2,2020-03-17 01:59:25,2020-03-16 23:23:03
508101078,臺大森林館北側,10,2,8,0,1,2,2020-03-17 01:59:25,2020-03-15 21:23:03
508101079,臺大一號館,19,1,18,0,1,2,2020-03-17 01:59:25,2020-03-16 23:25:03
508101081,臺大教研館北側,11,1,10,0,1,2,2020-03-17 01:59:25,2020-03-16 08:35:03
508101082,臺大四號館東北側,10,0,10,0,1,2,2020-03-17 01:59:25,2020-03-16 20:25:03
508101083,臺大新生教室南側,18,0,18,0,1,2,2020-03-17 01:59:25,2020-03-16 17:07:03
508101084,臺大鄭江樓北側,10,0,10,0,1,2,2020-03-17 01:59:25,2020-03-15 06:53:03
508101085,臺大電機二館東南側,14,0,14,0,1,2,2020-03-17 01:59:25,2020-03-16 16:25:03
508101086,臺大圖資系館北側,10,1,9,0,1,2,2020-03-17 01:59:25,2020-03-17 00:07:03
508101087,臺大總圖書館西南側,30,2,28,0,1,2,2020-03-17 01:59:25,2020-03-16 19:23:03
508101088,臺大黑森林西側,20,1,19,0,1,2,2020-03-17 01:59:25,2020-03-16 15:19:03
508101089,臺大獸醫館南側,10,0,10,0,1,2,2020-03-17 01:59:25,2020-03-15 17:17:03
508101090,臺大新體育館東南側,20,0,20,0,1,2,2020-03-17 01:59:25,2020-03-16 18:01:03
508101080,臺大小小福西南側,10,0,10,0,1,2,2020-03-17 01:59:25,2020-03-12 11:51:03
500101022,捷運公館站(2號出口),61,45,9,0,1,2,2020-03-17 01:59:25,2020-03-17 01:31:03
